race_id,year,top1_pop,top2_pop,top3_pop,top1_odds,top2_odds,top3_odds,tansho_hit,tansho_odds,fukusho_hit,fukusho_odds,wide_hit,wide_odds,umaren_hit,umaren_odds,umatan_hit,umatan_odds,sanrenpuku_hit,sanrenpuku_odds,sanrentan_hit,sanrentan_odds,top1_pop_group,odds_band
202401010101,2024,3.0,1.0,2.0,7.9,1.2,5.9,False,0.0,True,2.6333333333333333,True,3.033333333333333,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
202401010102,2024,3.0,2.0,6.0,5.7,3.9,9.4,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
202401010103,2024,2.0,5.0,3.0,3.6,9.7,6.8,True,3.6,True,1.2,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1-2人気,2-5倍
202401010104,2024,4.0,3.0,1.0,5.0,4.8,4.3,True,5.0,True,1.6666666666666667,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,2-5倍
202401010105,2024,2.0,1.0,3.0,5.3,3.0,5.3,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1-2人気,5-10倍
202401010106,2024,5.0,3.0,6.0,10.4,6.8,10.9,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,10-20倍
202401010107,2024,3.0,5.0,6.0,4.8,9.1,17.4,False,0.0,True,1.5999999999999999,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,2-5倍
202401010108,2024,3.0,2.0,6.0,3.7,3.5,18.8,False,0.0,True,1.2333333333333334,True,2.4,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,2-5倍
202401010109,2024,6.0,5.0,3.0,17.1,7.8,5.0,True,17.1,True,5.7,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6-10人気,10-20倍
202401010110,2024,3.0,5.0,4.0,4.4,9.5,5.4,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,2-5倍
202401010111,2024,1.0,2.0,12.0,4.5,5.0,49.3,True,4.5,True,1.5,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1-2人気,2-5倍
202401010112,2024,3.0,5.0,2.0,5.3,7.8,4.2,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
202401010201,2024,5.0,3.0,2.0,19.6,7.0,2.4,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,10-20倍
202401010202,2024,1.0,7.0,3.0,3.2,14.7,6.0,False,0.0,True,1.0666666666666667,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1-2人気,2-5倍
202401010203,2024,5.0,2.0,1.0,15.8,4.4,2.7,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,10-20倍
202401010204,2024,4.0,5.0,2.0,5.5,7.0,4.2,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
202401010205,2024,4.0,2.0,5.0,6.7,5.7,7.7,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
202401010206,2024,5.0,9.0,2.0,7.4,26.8,4.5,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
202401010207,2024,7.0,1.0,5.0,32.5,3.0,9.6,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6-10人気,20-50倍
202401010208,2024,6.0,2.0,4.0,11.8,4.0,7.2,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6-10人気,10-20倍
202401010209,2024,5.0,11.0,1.0,27.1,138.0,2.3,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,20-50倍
202401010210,2024,3.0,2.0,5.0,5.2,4.0,14.6,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3-5人気,5-10倍
